Timestamp,How are you currently using Rust to make games? Select the most intensive (last) option that applies.,What Rust-based game engine do you primarily use?,"What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Long compile and iteration times]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Problems with Rust itself (other than compile times)]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Problems in platform-abstracting crates like winit or wgpu]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Inadequate learning materials or docs]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Poor tooling for artists and game designers]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Difficulty paying to get open source problems fixed]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Lack of console support]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Immature mobile support]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Immature web support]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Bugs in the engine I use]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Missing features in the engine I use]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Difficulty hiring experts who know Rust]","What are the biggest barriers to your success when making games in Rust?

Please rate each problem from 0 (not at all a problem) to 5 (a huge problem). [Poor performance]","If you could magically add or fix three things about Rust itself, what would they be?"
4/29/2024 12:40:36,"I work by myself or in a tiny team, and am attempting to support myself financially by selling games made in Rust.",Bevy,0,2,2,0,0,0,0,0,0,1,5,0,0,Unblock some of the things preventing * as entities 
4/29/2024 12:40:58,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,1,0,0,1,2,0,0,0,0,0,2,0,0,"Lifetimes lifetimes, iteration speed, and lifetimes. "
4/29/2024 12:43:43,"I work by myself, but have a project that I have or am planning to sell.",Bevy,4,2,2,1,3,3,5,4,2,1,3,3,1,"A way to work around the orphan rule (relaxed in a given namespace, or in binary crates)

Variadics

"
4/29/2024 12:44:27,I have at least one serious hobbyist project that I have or am planning to ship.,None,0,0,1,0,0,0,0,0,0,0,0,0,0,Finish and stabilize portable SIMD and generators
4/29/2024 12:47:07,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,0,0,0,1,2,0,0,0,0,2,2,1,0,Dynamic linking by default
4/29/2024 12:47:13,I'm still learning.,Bevy,0,1,3,4,4,4,0,2,3,1,5,0,2,"Variadic Generics, Macro error messages on the same level as normal Rust, reasonably full language functionality in consts"
4/29/2024 12:47:38,I am part of a company that is using Rust to make games.,custom,4,3,3,0,1,5,3,0,0,2,2,0,0,"#1, Cargo: Pre-built or proprietary libraries (fmod, sdl2) are difficult to integrate, ship, and debug.

#2, Cargo: Getting good build times is difficult. Having many crates comes with unpleasant trade-offs: rigid organization, the orphan rule, etc

#3, Leadership: If Rust wants to be taken seriously as a tool for game development, there need to be strong leaders with industry experience at the helm. Industry veterans are scared away from things when they don't see other veterans buying in, and that is currently the case."
4/29/2024 12:48:24,"I work by myself, but have a project that I have or am planning to sell.",My custom engine,0,0,0,1,0,0,2,0,0,0,0,0,0,High memory usage during compilation; Remove panics in crates by replacing all `unwrap()/expect()` with early return with an error value.
4/29/2024 12:48:33,"I work by myself, but have a project that I have or am planning to sell.",Bevy,2,1,2,1,2,4,3,4,5,2,5,0,1,"1. Add variadics
2. Relax orphan rules
3. Improve hot-reloading support
"
4/29/2024 12:48:40,I'm still learning.,Bevy,3,3,1,3,4,1,0,1,4,2,3,0,2,Faster compile times. Maybe a few more escape hatches (easy to fix later) for things like borrow checker issues. Obvious GUI patterns.
4/29/2024 12:53:32,"I work by myself or in a tiny team, and am attempting to support myself financially by selling games made in Rust.",Bevy,0,0,1,0,2,0,5,2,0,2,2,0,0,"A C backend (generates C) would allow me to target a certain console. I have been investigating using mrustc or something, but I don't have the time. I'd love higher-kinded types, since I have to hack around the lack of them. Stabilize the allocator API."
4/29/2024 12:53:33,"I work by myself, but have a project that I have or am planning to sell.",No engine,2,0,0,1,3,0,0,0,0,0,2,3,0,"Stable ABI, Rust-like scripting language with types but less strict than Rust, Generators/Coroutines"
4/29/2024 12:55:09,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,0,0,0,2,2,0,2,0,0,0,2,0,0,"* the ability to add additional error message context around system trait implementation issues
* ??
* ?"
4/29/2024 12:57:57,I'm still learning.,Bevy,4,2,1,4,4,0,1,1,4,2,3,1,0,"Good live-reloading, orphan rule, smarter analysis of when it’s safe to mutate disjoint parts of a collection. "
4/29/2024 12:58:23,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,1,0,1,5,3,0,2,2,0,4,4,0,1,"Negative impls
Declarative derive macros
Macro_rules generics "
4/29/2024 13:03:38,I'm still learning.,"Been experimenting, but mostly fyrox.",3,0,3,3,3,0,3,3,2,3,3,0,0,Classes. We need classes.
4/29/2024 13:11:56,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,2,0,0,1,4,0,0,1,3,0,2,1,0,"A single async runtime in std, add the file name to file not found errors, specialization"
4/29/2024 13:18:49,"Actually, I only use Rust to make game engines or tools for gamedev.",No engine / in-house engine,5,5,2,2,4,0,4,3,2,1,3,3,1,"Hot reload, compile times, iteration speed, though the last one is against rust philosophy and not a good thing for the rust ecosystem as a whole. "
4/29/2024 13:20:06,I have at least one serious hobbyist project that I have or am planning to ship.,Bevy,3,2,1,2,3,1,2,2,1,1,3,0,1,"hot reload, good examples for tree-like data structures, compiler seems very crashy"
4/29/2024 13:20:14,I am part of a company that uses Rust game tools to make things that are not games.,Bevy,2,0,1,1,0,0,0,0,3,1,5,1,1,"more expressive polymorphism, more expressive polymorphism, and more expressive polymorphism"
4/29/2024 13:20:49,I am part of a company that uses Rust game tools to make things that are not games.,No engine / in-house engine,2,0,1,1,0,0,0,0,1,0,0,0,0,"Faster compile times, improve async/await ecosystem, better communication and transparency between all of the Rust working groups/foundation/etc."
4/29/2024 13:22:57,I am part of a company that uses Rust game tools to make things that are not games.,Bevy,4,4,3,1,2,0,0,0,0,0,3,1,0,"- Option to disable orphan rules for binaries
- Better options for UI: egui is the best we've found, but it's not really sufficient for our needs. We're investigating dioxus though"
